Stats on input FMs
"","mean","median","min","max"
"Xor - % features in a correct cluster",0.183001676845863,0.13986013986014,0,0.58974358974359
"Or - #clusters",0,0,0,0
"Or - average cluster size",0,0,0,0
"Or - % correct clusters",NA,NA,Inf,-Inf
"Or - % features in a correct cluster",0,0,0,0
"All - #clusters",10.4,8,1,51
"All - average cluster size",5.9000388337153,5,2.13333333333333,18.5
"All - % correct clusters",1,1,1,1
"All - % features in a correct cluster",0.642560544149809,0.6067977915804,0.1,1.70434782608696

